deck_id,deck_source,cmc,name,type,price
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Blisterspit Gremlin,Creature,$0.35
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.29
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$1.99
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.99
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.59
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Kindlespark Duo,Creature,$0.35
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$2.79
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$0.69
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Runaway Steam-Kin,Creature,$1.49
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.35
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Spitfire Lagac,Creature,$0.35
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Storm-Kiln Artist,Creature,$1.79
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Sunset Strikemaster,Creature,$0.49
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.39
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Unruly Catapult,Creature,$0.49
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Antagonize,Instant,$0.35
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Big Score,Instant,$1.79
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Bolt Bend,Instant,$6.49
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Bulk Up,Instant,$0.99
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Chandra's Pyrohelix,Instant,$0.35
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.79
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Demand Answers,Instant,$0.79
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Expedite,Instant,$0.69
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Flick a Coin,Instant,$0.39
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Infuriate,Instant,$0.35
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lava Dart,Instant,$1.29
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lightning Bolt,Instant,$1.79
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Monstrous Rage,Instant,$1.49
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spikefield Hazard,Instant,$0.79
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thrill of Possibility,Instant,$0.35
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Titan's Strength,Instant,$0.35
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Unexpected Windfall,Instant,$2.49
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Unleash Fury,Instant,$0.79
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Volcanic Fallout,Instant,$0.35
MPaWvPVkV0HOFfel8GfY7w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,9,Blasphemous Act,Sorcery,$3.49
