deck_id,deck_source,count,name,type,price
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,5,Brash Taunter,,$0.79
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Cemetery Gatekeeper,,$2.29
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,,$2.79
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,,$2.29
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,,$0.35
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,,$0.35
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,,$5.99
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,,$0.49
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,,$3.49
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,,$1.99
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,,$6.49
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,,$0.99
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,,$9.49
E9WMNu4u7ndorMzgA_wiuA,https://moxfield.com/decks/7zoqTbuze0q0Jjpus5yZZg?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,,$0.35
