urlhash,savedate,price,salt,creature,instant,sorcery,artifact,enchantment,battle,planeswalker,land,bracket,deck_color_id,tags,deckpreview_url
kwFFGvG-UWO2RmJkUpIvAA,2026-07-29,353,55.234604224562645,7,13,9,6,26,0,7,31,4,8,"['Control', 'Burn', 'Lands Matter', 'Land Destruction']",https://edhrec.com/deckpreview/kwFFGvG-UWO2RmJkUpIvAA
_47C-PRZd6hot1U3NrPwQQ,2026-07-28,762,50.145818166434765,20,15,10,9,10,0,0,35,4,8,[],https://edhrec.com/deckpreview/_47C-PRZd6hot1U3NrPwQQ
2OTPGtYR-0A2bWyUGjdZlw,2026-07-28,253,43.35101034119725,13,17,12,8,15,1,0,33,4,8,[],https://edhrec.com/deckpreview/2OTPGtYR-0A2bWyUGjdZlw
_r0_hTA5IpnRYEy6W5Ha4g,2026-07-28,303,32.12937706708908,11,31,23,0,1,0,0,33,4,8,[],https://edhrec.com/deckpreview/_r0_hTA5IpnRYEy6W5Ha4g
CsDUIOqQsGq0RpVjtrvLRA,2026-07-28,723,49.70320664346218,20,16,12,10,5,0,0,36,4,8,[],https://edhrec.com/deckpreview/CsDUIOqQsGq0RpVjtrvLRA
tnm-N-I991O_jHUhe50gEg,2026-07-28,2366,60.50704298913479,20,15,14,11,7,0,0,32,4,8,[],https://edhrec.com/deckpreview/tnm-N-I991O_jHUhe50gEg
-P-ODAiqGNZ_UiMLhfPPyw,2026-07-27,342,39.71073680743575,22,19,10,11,6,0,2,29,4,8,[],https://edhrec.com/deckpreview/-P-ODAiqGNZ_UiMLhfPPyw
hquN-ojGo6IU6AFdgQw5_w,2026-07-26,584,45.330934442579746,18,23,14,5,5,0,0,34,4,8,"['Burn', 'Aggro', 'Combo', 'Storm']",https://edhrec.com/deckpreview/hquN-ojGo6IU6AFdgQw5_w
vKzTWb0QZIS6EiinJMCQUg,2026-07-26,468,38.25503697618842,18,21,17,3,4,0,0,36,4,8,"['Spellslinger', 'Burn']",https://edhrec.com/deckpreview/vKzTWb0QZIS6EiinJMCQUg
zaeIU1tPT0QYIF64mZzovg,2026-07-25,232,38.469534310512245,18,13,14,11,6,0,1,36,4,8,[],https://edhrec.com/deckpreview/zaeIU1tPT0QYIF64mZzovg
